Name,Type,Location,Latitude,Longitude
Pfarrkirche Kirchdorf in Tirol,Mountain Biking Highlight,"Location: Kirchdorf in Tirol, Kitzb칲hel, Tyrol, Austria",47.558408,12.447617
Viewpoint Eye of Vinodol,Bike Touring Highlight,"Location: Primorje-Gorski Kotar, Croatia",45.246633,14.670274
Ruin of an Old Church,Bike Touring Highlight,"Location: Primorje-Gorski Kotar, Croatia",45.278449,14.718144
BOJ Lokve single trail,Mountain Biking Highlight,"Location: Primorje-Gorski Kotar, Croatia",45.373506,14.700307
Trail near the Lokvarsko lake,Mountain Biking Highlight (Segment),"Location: Primorje-Gorski Kotar, Croatia",45.366697,14.711838
Fu쬴ne,Mountain Biking Highlight,"Location: Primorje-Gorski Kotar, Croatia",45.306251,14.713688
Find footprints!,Mountain Biking Highlight (Segment),"Location: Notranjsko-kra코ka, Slovenia",45.559175,14.507527
Veliki Dom Platak,Mountain Biking Highlight,"Location: Primorje-Gorski Kotar, Croatia",45.429529,14.565214
Ma코un Forest Learning Trail,Mountain Biking Highlight,"Location: Ilirska Bistrica, Notranjsko-kra코ka, Slovenia",45.628788,14.366325
Svis팳c팳aki,Mountain Biking Highlight,"Location: Ilirska Bistrica, Notranjsko-kra코ka, Slovenia",45.574062,14.401317
Lynx Trail seasonal lakes,Mountain Biking Highlight,"Location: Pivka, Notranjsko-kra코ka, Slovenia",45.702994,14.224298
DINA Pivka Center of Large Carnivores,Mountain Biking Highlight,"Location: Pivka, Notranjsko-kra코ka, Slovenia",45.683974,14.195611
View from Bele ovce,Mountain Biking Highlight,"Location: Ilirska Bistrica, Notranjsko-kra코ka, Slovenia",45.595825,14.301194
Ekomuzej Piv코kih presihajo캜ih jezer.,Mountain Biking Highlight,"Location: Pivka, Notranjsko-kra코ka, Slovenia",45.701159,14.210371
Wildgehege 游붋,Bike Touring Highlight,"Location: Bad Goisern am Hallst칛ttersee, Gmunden, Salzkammergut, Upper Austria, Austria",47.644233,13.636406
Rossmoosalm,Bike Touring Highlight,"Location: Bad Goisern am Hallst칛ttersee, Gmunden, Salzkammergut, Upper Austria, Austria",47.662992,13.648488
Steegwirt neu umgebaut,Mountain Biking Highlight,"Location: Bad Goisern am Hallst칛ttersee, Gmunden, Salzkammergut, Upper Austria, Austria",47.611355,13.632663
Gasthaus Koppenrast,Mountain Biking Highlight,"Location: Obertraun, Gmunden, Salzkammergut, Upper Austria, Austria",47.564293,13.722313
Koppenwinkllack'n,Mountain Biking Highlight,"Location: Obertraun, Gmunden, Salzkammergut, Upper Austria, Austria",47.560232,13.727687
Am Koppenwinkllack'n,Mountain Biking Highlight,"Location: Obertraun, Gmunden, Salzkammergut, Upper Austria, Austria",47.559949,13.727589
Vorderer Gosausee - Blick zum Dachstein,Mountain Biking Highlight,"Location: Gosau, Gmunden, Salzkammergut, Upper Austria, Austria",47.532818,13.497692
Grubalm Niedermoor,Mountain Biking Highlight,"Location: Gosau, Gmunden, Salzkammergut, Upper Austria, Austria",47.550384,13.546748
Rossalm,Mountain Biking Highlight,"Location: Gosau, Gmunden, Salzkammergut, Upper Austria, Austria",47.532913,13.497287
Gosaukamm,Mountain Biking Highlight,"Location: Gosau, Gmunden, Salzkammergut, Upper Austria, Austria",47.540719,13.517133
Badstumh칲tte,Mountain Biking Highlight,"Location: Gosau, Gmunden, Salzkammergut, Upper Austria, Austria",47.558094,13.545239
Blick auf den Gosaukamm,Mountain Biking Highlight,"Location: Gosau, Gmunden, Salzkammergut, Upper Austria, Austria",47.545338,13.53075
Entlang des Goausbachs,Mountain Biking Highlight,"Location: Gosau, Gmunden, Salzkammergut, Upper Austria, Austria",47.587529,13.574416
